"","RBD","NOM_RBD","MRUN","RUT_SOSTENEDOR","COD_REG_RBD","COD_COM_RBD","NOM_COM_RBD","DEPENDENCIA.x","RURAL_RBD","CONVENIO_PIE","LATITUD","LONGITUD","ORI_RELIGIOSA","PAGO_MATRICULA","PAGO_MENSUAL","NOMBRE_ACCESIBILIDAD.x","NECESIDAD_AVION","PROM_LECT","PROM_MAT","MAT_TOTAL","RED_DE_ESCUELAS_LIDERES.x","GRUPO","NUMERO_BENEFICIADOS","MONTO_SEP","Grupo","Matricula_Comuna","Matricula_Grupo","PAGO_MATRICULA_2","PAGO_MENSUAL_2","cluster.x","CodGrupo","cluster.y","NOMBRE_ACCESIBILIDAD.y","RED_DE_ESCUELAS_LIDERES.y","DEPENDENCIA.y","Monto_Escuela","MATRICULA_TOTAL","MONTO_ALUMNO","N_TOTAL_COLEGIOS","idGrupo"
"2967",4907,"ESCUELA GOMERO",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-37.18765182,-72.82466481,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,2,0,"69150600",2,35830.9275,NA,4049,2648,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2968",4908,"ESCUELA ALEJANDRO VARELA SANTA MARIA",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-37.05671406,-72.95780009,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,88,0,"69150600",86,1540729.8825,NA,4049,2648,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2969",4909,"ESCUELA PROFESORA JUANA SALGADO PARRA DE UNIHUE",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-37.11697164,-72.9432111299999,"Católica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,41,0,"69150600",38,680787.6225,NA,4049,2648,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2970",4910,"ESCUELA GUILLERMO BARBERI MASSA",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-36.98508495,-72.83093698,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,4,0,"69150600",4,71661.855,NA,4049,2648,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2971",4911,"ESCUELA DE CHILLANCITO",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-37.06459099,-72.88861541,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,4,0,"69150600",4,71661.855,NA,4049,2648,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2972",4912,"ESCUELA MAQUEUTO",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-36.93775846,-72.9020381,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,3,0,"69150600",3,53746.39125,NA,4049,2648,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2973",4913,"ESCUELA BARRANCAS JUNTAS",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-37.0178778,-72.85785169,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,8,0,"69150600",8,143323.71,NA,4049,2648,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2974",4915,"ESCUELA LA CALLE",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-37.03509598,-72.88726595,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,18,0,"69150600",17,304562.88375,NA,4049,2648,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2975",4917,"ESCUELA SANTA SUSANA DE PICHACO",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-36.91696555,-72.85661469,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,3,0,"69150600",2,35830.9275,NA,4049,2648,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2976",4918,"ESCUELA AGUA CORTA",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",1,-36.97743332,-72.9009220899999,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,1,0,"69150600",1,17915.46375,NA,4049,2648,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2977",4920,"ESCUELA SAN NICANOR",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",0,-37.06985916,-72.84701873,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,14,0,"69150600",14,250816.4925,NA,4049,2648,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2978",4921,"ESCUELA ARMANDO JOSE SANTOS IBANEZ VARGA",NA,69150600,8,8105,"HUALQUI","Municipal","RURAL",0,-36.91799215,-72.92664358,"Católica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,2,0,"69150600",2,35830.9275,NA,4049,2648,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2979",4922,"ESCUELA ALONSO DE ERCILLA",NA,76118262,8,8105,"HUALQUI","Particular Subvencionado","URBANO",1,-36.97127482,-72.9293242,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,392,0,"76118262",371,6646637.05125,NA,4049,392,0,0,"2","2-No Accesible-0-Particular Subvencionado","2","No Accesible",0,"Particular Subvencionado",26559162983.09,172417,154040.280152711,277,22
"2980",4923,"ESCUELA PARTICULAR SANTA CRUZ",NA,76164492,8,8105,"HUALQUI","Particular Subvencionado","RURAL",0,-37.06850353,-72.79549464,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,5,0,"76164492",0,0,NA,4049,5,0,0,"3","3-Accesible-0-Particular Subvencionado","3","Accesible",0,"Particular Subvencionado",28812313457.2925,106159,271407.167148263,586,28
"2981",4925,"LICEO NUEVA ZELANDIA",NA,69151400,8,8109,"SANTA JUANA","Municipal","URBANO",1,-37.17998481,-72.93998197,"Otro","GRATUITO","GRATUITO","Medianamente",0,238,248,434,0,"69151400",425,7614072.09375,NA,2485,1190,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"2982",4926,"ESCUELA RECAREDO VIGUERAS ARANEDA",NA,69151400,8,8109,"SANTA JUANA","Municipal","URBANO",1,-37.17503597,-72.93656117,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,291,0,"69151400",285,5105907.16875,NA,2485,1190,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2983",4927,"ESCUELA COLICO ALTO",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",1,-37.30196178,-72.85629003,"Otro","GRATUITO","GRATUITO","Accesible",0,NA,NA,40,0,"69151400",40,716618.55,NA,2485,1190,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2984",4929,"ESCUELA ESPIGADO",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.39643182,-73.01231686,"Católica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,19,0,"69151400",19,340393.81125,NA,2485,1190,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2985",4930,"ESCUELAS LAS CACHANAS",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.35816027,-73.02439257,"Evangélica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,3,0,"69151400",3,53746.39125,NA,2485,1190,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2986",4932,"ESCUELA PODUCO ALTO",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",1,-37.30623436,-72.94193495,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,10,0,"69151400",10,179154.6375,NA,2485,1190,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2987",4933,"ESCUELA CABRERA",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.39420454,-73.10176222,"Católica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,2,0,"69151400",2,35830.9275,NA,2485,1190,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2988",4935,"ESCUELA TORRE DORADA",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.284143,-72.80850056,"Católica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,6,0,"69151400",6,107492.7825,NA,2485,1190,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2989",4936,"ESCUELA PURGATORIO",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.30971948,-72.98787082,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,1,0,"69151400",1,17915.46375,NA,2485,1190,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2990",4940,"ESCUELA CURAMAVIDA",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",1,-37.27202725,-72.77674293,"Católica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,8,0,"69151400",7,125408.24625,NA,2485,1190,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2991",4941,"ESCUELA PODUCO BAJO",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.25866091,-72.9441164,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,1,0,"69151400",1,17915.46375,NA,2485,1190,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2992",4942,"ESCUELA TANAHUILLIN",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",0,-37.24552659,-72.8131344,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,10,0,"69151400",10,179154.6375,NA,2485,1190,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"2993",4943,"ESCUELA CHACAYAL",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",1,-37.31766594,-72.92271558,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,89,0,"69151400",82,1469068.0275,NA,2485,1190,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"2994",4946,"ESCUELA LA GENERALA",NA,69151400,8,8109,"SANTA JUANA","Municipal","RURAL",1,-37.38379188,-72.96463572,"Evangélica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,35,0,"69151400",35,627041.23125,NA,2485,1190,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"2995",4947,"ESCUELA PARTICULAR CLORINDA AVELLO",NA,82972000,8,8109,"SANTA JUANA","Particular Subvencionado","URBANO",1,-37.17556708,-72.93927936,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,705,0,"82972000",660,23648412.15,NA,2485,1093,0,0,"2","2-Accesible-0-Particular Subvencionado","2","Accesible",0,"Particular Subvencionado",27179668282.2612,186875,145443.040975311,294,14
"2996",4951,"LICEO CARLOS COUSIÑO GOYENECHEA",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.08504973,-73.1622527499999,"Laica","GRATUITO","GRATUITO","Medianamente",0,244,231,874,0,"69151300",821,14708595.73875,NA,8485,4193,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"2997",4952,"ESCUELA BALDOMERO LILLO FIGUEROA",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.09208791,-73.1557849099999,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,456,0,"69151300",441,15801439.0275,NA,8485,4193,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"2998",4953,"ESCUELA ISIDORA GOYENECHEA",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.08456744,-73.15399107,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,365,0,"69151300",349,6252496.84875,NA,8485,4193,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"2999",4954,"ESCUELA BASICA SANTA MARIA DE GUADALUPE",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.09498207,-73.1556174,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,214,0,"69151300",206,3690585.5325,NA,8485,4193,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"3000",4955,"ESCUELA BASICA KONRAD ADENAUER",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.09096501,-73.15484146,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,141,0,"69151300",137,2454418.53375,NA,8485,4193,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"3001",4956,"ESCUELA BASICA BELLO HORIZONTE",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.07724571,-73.15268201,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,361,0,"69151300",349,12504993.6975,NA,8485,4193,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"3002",4958,"ESCUELA BASICA THOMPSON MATTHEWS",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.08480068,-73.16145532,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,569,0,"69151300",543,9728096.81625,NA,8485,4193,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"3003",4960,"COLEGIO ANGEL DE PEREDO",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.0910737,-73.15588575,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,659,0,"69151300",622,22286836.905,NA,8485,4193,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"3004",4961,"ESCUELA BASICA COLCURA",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.10981754,-73.14573344,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,185,0,"69151300",174,3117290.6925,NA,8485,4193,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"3005",4967,"ESCUELA BASICA CENTENARIO",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.08088728,-73.16118595,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,273,0,"69151300",257,9208548.3675,NA,8485,4193,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"3006",4968,"ESCUELA BÁSICA CARABINERO ISAÍAS GUEVARA",NA,69151300,8,8106,"LOTA","Municipal","URBANO",1,-37.09504311,-73.1579672,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,96,0,"69151300",96,1719884.52,NA,8485,4193,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"3007",4969,"LICEO SANTA DORIS",NA,76134109,8,8106,"LOTA","Particular Subvencionado","URBANO",1,-37.08251149,-73.16499346,"Laica","GRATUITO","GRATUITO","Accesible",0,190,198,126,0,"76134109",125,2239432.96875,NA,8485,126,0,0,"3","3-Accesible-0-Particular Subvencionado","3","Accesible",0,"Particular Subvencionado",28812313457.2925,106159,271407.167148263,586,28
"3008",4970,"ESCUELA PADRE FRANCISCO DE CROZE",NA,65078118,8,8106,"LOTA","Particular Subvencionado","URBANO",1,-37.09436846,-73.15708609,"Católica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,776,0,"65078118",656,23505088.44,NA,8485,1692,0,0,"2","2-Medianamente-0-Particular Subvencionado","2","Medianamente",0,"Particular Subvencionado",25051218444.5013,174475,143580.561366965,280,18
"3009",4971,"ESCUELA PARTICULAR SANTA TERESA",NA,76301956,8,8106,"LOTA","Particular Subvencionado","URBANO",1,-37.08034592,-73.15781269,"Católica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,108,0,"76301956",104,1863208.23,NA,8485,108,0,0,"3","3-No Accesible-0-Particular Subvencionado","3","No Accesible",0,"Particular Subvencionado",29543797034.1237,114356,258349.339204972,612,40
"3010",4973,"INSTITUTO HUMANIDADES SAN FRANCISCO DE ASIS",NA,65065400,8,8106,"LOTA","Particular Subvencionado","URBANO",1,-37.07892397,-73.1561293599999,"Católica","GRATUITO","GRATUITO","Accesible",0,NA,NA,791,0,"ARZOBISPADO (CONCEPCIÓN)",712,25511620.38,"ARZOBISPADO (CONCEPCIÓN)",8485,8359,0,0,"1","1-Accesible-0-Particular Subvencionado","1","Accesible",0,"Particular Subvencionado",14295903632.3575,117605,121558.638088155,85,2
"3011",4974,"ESCUELA PARTICULAR GETSEMANI",NA,78390020,8,8106,"LOTA","Particular Subvencionado","URBANO",1,-37.08189381,-73.15173975,"Evangélica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,297,0,"78390020",283,5070076.24125,NA,8485,297,0,0,"3","3-Medianamente-0-Particular Subvencionado","3","Medianamente",0,"Particular Subvencionado",28232014674.1037,119292,236663.101248229,623,34
"3012",4975,"LICEO INDUSTRIAL FUNDACIÓN FEDERICO SCHWAGER",NA,71360000,8,8102,"CORONEL","Administración Delegada","URBANO",0,-37.02623209,-73.17768593,"Laica","GRATUITO","GRATUITO","No Accesible",0,220,190,130,0,"71360000",0,0,NA,19307,3927,0,0,"3","3-No Accesible-0-Administración Delegada","3","No Accesible",0,"Administración Delegada",4740000,2862,1656.18448637317,7,37
"3013",4982,"LICEO CORONEL ANTONIO SALAMANCA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.0282125,-73.14682623,"Laica","GRATUITO","GRATUITO","Accesible",0,227,222,1473,0,"69151200",1273,22806385.35375,NA,19307,8560,0,0,"1","1-Accesible-0-Municipal","1","Accesible",0,"Municipal",1322372240.28,51492,25681.1201794454,43,1
"3014",4983,"LICEO YOBILO DE CORONEL",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.00771715,-73.15313483,"Otro","GRATUITO","GRATUITO","Medianamente",0,206,203,349,0,"69151200",324,5804610.255,NA,19307,8560,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"3015",4984,"ESCUELA ROSITA RENARD",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.00228293,-73.16558453,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,443,0,"69151200",414,14834003.985,NA,19307,8560,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"3016",4985,"ESCUELA BASICA PLAYAS NEGRAS",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.03610064,-73.14449436,"Laica","GRATUITO","SIN INFORMACION","Accesible",0,NA,NA,175,0,"69151200",165,2956051.51875,NA,19307,8560,0,NA,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"3017",4986,"ESCUELA ROSA MEDEL AGUILERA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.02208396,-73.1618655399999,"Evangélica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,131,0,"69151200",127,2275263.89625,NA,19307,8560,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"3018",4987,"ESCUELA BASICA JAVIERA CARRERA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.01508545,-73.15389329,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,259,0,"69151200",249,8921900.9475,NA,19307,8560,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"3019",4988,"ESCUELA RAFAEL SOTOMAYOR BAEZA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.02893718,-73.14456077,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,679,0,"69151200",641,22967624.5275,NA,19307,8560,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"3020",4989,"ESCUELA VICTOR DOMINGO SILVA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.01117859,-73.15357414,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,367,0,"69151200",347,6216665.92125,NA,19307,8560,0,0,"2","2-Medianamente-0-Municipal","2","Medianamente",0,"Municipal",4794671239.00625,217202,22074.7103572078,418,17
"3021",4990,"ESCUELA AMBROSIO O´HIGGINS",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-36.99632039,-73.15751054,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,268,0,"69151200",260,9316041.15,NA,19307,8560,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"3022",4991,"ESCUELA REPUBLICA DE FRANCIA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.0317402,-73.1389193299999,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,173,0,"69151200",154,5517962.835,NA,19307,8560,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"3023",4992,"ESCUELA REMIGIO CASTRO ABURTO",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.03011854,-73.14533471,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,308,0,"69151200",280,5016329.85,NA,19307,8560,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"3024",4994,"ESCUELA ADELAIDA MIGUIELES SOTO",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.03003353,-73.1449695799999,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,388,0,"69151200",371,6646637.05125,NA,19307,8560,0,0,"2","2-No Accesible-0-Municipal","2","No Accesible",0,"Municipal",4756192501.35875,230084,20671.5482230783,432,21
"3025",4995,"ESCUELA OCTAVIO SALINAS CARIAGA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.00754786,-73.16165397,"Otro","GRATUITO","GRATUITO","Accesible",0,NA,NA,346,0,"69151200",330,5912103.0375,NA,19307,8560,0,0,"2","2-Accesible-0-Municipal","2","Accesible",0,"Municipal",4266015740.69125,206556,20653.0710349312,397,13
"3026",4996,"ESCUELA VISTA HERMOSA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.02606083,-73.1317430999999,"Evangélica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,284,0,"69151200",268,4801344.285,NA,19307,8560,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"3027",4997,"ESCUELA JORGE ROJAS MIRANDA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.02229138,-73.14984163,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,251,0,"69151200",221,3959317.48875,NA,19307,8560,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"3028",4998,"ESCUELA ROSA YANEZ RODRIGUEZ",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-37.02429355,-73.17810313,"Evangélica","GRATUITO","GRATUITO","Accesible",0,NA,NA,108,0,"69151200",101,1809461.83875,NA,19307,8560,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"3029",4999,"ESCUELA BASICA RAMON FREIRE SERRANO",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-36.98518394,-73.15862108,"Otro","GRATUITO","GRATUITO","Medianamente",0,NA,NA,187,0,"69151200",170,3045628.8375,NA,19307,8560,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"3030",5001,"ESCUELA ARTURO HUGHES CERNA",NA,69151200,8,8102,"CORONEL","Municipal","URBANO",1,-36.98222718,-73.15853395,"Laica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,890,1,"69151200",788,28234770.87,NA,19307,8560,0,0,"1","1-No Accesible-1-Municipal","1","No Accesible",1,"Municipal",99896625.87,3088,32349.9436107513,3,11
"3031",5002,"ESCUELA JUAN JOSE LATORRE BENAVENTE",NA,69151200,8,8102,"CORONEL","Municipal","RURAL",1,-36.97569053,-73.52865432,"Laica","GRATUITO","GRATUITO","Accesible",0,NA,NA,245,0,"69151200",164,2938136.055,NA,19307,8560,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
"3032",5003,"ESCUELA FRANCISCO COLOANE",NA,69151200,8,8102,"CORONEL","Municipal","RURAL",1,-37.04541824,-73.51312753,"Laica","GRATUITO","GRATUITO","Medianamente",0,NA,NA,160,0,"69151200",153,2741065.95375,NA,19307,8560,0,0,"3","3-Medianamente-0-Municipal","3","Medianamente",0,"Municipal",1694925487.55125,100738,16825.0857427311,1118,32
"3033",5005,"ESCUELA ESCUADRON",NA,69151200,8,8102,"CORONEL","Municipal","RURAL",1,-36.95466621,-73.14856295,"Evangélica","GRATUITO","GRATUITO","No Accesible",0,NA,NA,290,0,"69151200",225,4030979.34375,NA,19307,8560,0,0,"3","3-No Accesible-0-Municipal","3","No Accesible",0,"Municipal",1765725885.0225,101768,17350.5019753017,1112,38
"3034",5006,"ESCUELA BASICA PATAGUAL",NA,69151200,8,8102,"CORONEL","Municipal","RURAL",1,-37.01164088,-73.00270473,"Evangélica","GRATUITO","GRATUITO","Accesible",0,NA,NA,19,0,"69151200",17,304562.88375,NA,19307,8560,0,0,"3","3-Accesible-0-Municipal","3","Accesible",0,"Municipal",1671461363.105,99590,16783.4256763229,1131,26
